dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
C Class,1.399.000.000,Mercedes Benz,Tự động,Sedan,25000,2018,Xăng,5,Đã sử dụng,Việt Nam
Sedona,939.000.000,Kia,Tự động,,38300,2019,,,Đã sử dụng,
Ranger,915.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
i30,268.000.000,Hyundai,Tự động,Hatchback,100000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Hilux,674.000.000,Toyota,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Ertiga,489.900.000,Suzuki,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nhật Bản
Camry,265.000.000,Toyota,Tự động,Sedan,22000,1999,Xăng,5,Đã sử dụng,Mỹ
Mu X,658.000.000,Isuzu,Số sàn,SUV / Cross over,5000,2019,Dầu,5,Đã sử dụng,Thái Lan
CX 5,568.000.000,Mazda,Tự động,SUV / Cross over,80000,2014,Xăng,5,Đã sử dụng,Việt Nam
Sportage,430.000.000,Kia,Tự động,SUV / Cross over,90000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
3,550.000.000,Mazda,Tự động,Sedan,51000,2017,Xăng,5,Đã sử dụng,Việt Nam
Zace,88.000.000,Toyota,Số sàn,SUV / Cross over,4567,1996,Xăng,8,Đã sử dụng,Nhật Bản
Venza,565.000.000,Toyota,Tự động,SUV / Cross over,120000,2009,Xăng,5,Đã sử dụng,Mỹ
,618.000.000,,,,,,,,Đã sử dụng,
626,125.000.000,Mazda,Số sàn,Sedan,200000,2002,Xăng,5,Đã sử dụng,Việt Nam
Morning,219.000.000,Kia,Tự động,Hatchback,64000,2011,Xăng,5,Đã sử dụng,Việt Nam
Vios,420.000.000,Toyota,Số sàn,Sedan,27000,2020,Xăng,5,Đã sử dụng,
Camry,1.150.000,Toyota,Tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,
Vios,360.000.000,Toyota,Số sàn,Sedan,68000,2017,Xăng,5,Đã sử dụng,Việt Nam
Yaris,605.000.000,Toyota,Tự động,Hatchback,6100,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,122.000.000,Mercedes Benz,Số sàn,Van,10000,2005,Dầu,6,Đã sử dụng,Việt Nam
C Class,588.000.000,Mercedes Benz,Tự động,Sedan,39000,2013,,5,Đã sử dụng,Việt Nam
Ranger,655.000.000,Ford,Tự động,Pick-up (bán tải),3000,2020,Dầu,5,Đã sử dụng,Thái Lan
3 Series,610.000.000,BMW,Tự động,Sedan,90000,2012,Xăng,5,Đã sử dụng,Đức
Santa Fe,1.340.000.000,Hyundai,Tự động,,,2021,,,Mới,
Scirocco,585.000.000,Volkswagen,Tự động,Hatchback,80000,2011,Xăng,4,Đã sử dụng,Đức
Tucson,749.000.000,Hyundai,Tự động,,,2021,,,Đã sử dụng,
Attrage,460.000.000,Mitsubishi,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Morning,96.000.000,Kia,Tự động,Hatchback,88888,2005,Xăng,5,Đã sử dụng,
Accent,350.000.000,Hyundai,Bán tự động,Hatchback,,2021,Xăng,5,Mới,Hàn Quốc
Ranger,519.000.000,Ford,Tự động,Pick-up (bán tải),43000,2014,Dầu,5,Đã sử dụng,Thái Lan
Fadil,382.500.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Camry,685.000.000,Toyota,Tự động,Sedan,55000,2015,Xăng,5,Đã sử dụng,
Dòng khác,1.150.000.000,Ford,Tự động,,28000,2019,,,Đã sử dụng,
Ranger,539.000.000,Ford,Số sàn,Pick-up (bán tải),71000,2018,Dầu,5,Đã sử dụng,
Fortuner,655.000.000,Toyota,Tự động,SUV / Cross over,60000,2016,Xăng,7,Đã sử dụng,Việt Nam
Xpander,630.000.000,Mitsubishi,Tự động,,,2021,,,Mới,
C Class,1.239.000.000,Mercedes Benz,Tự động,Sedan,16000,2020,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,1.080.000.000,Toyota,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Lux,826.165.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Outlander,783.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
i20,235.000.000,Hyundai,Tự động,Sedan,95689,2009,Xăng,5,Đã sử dụng,
Hi lander,185.000.000,Isuzu,Số sàn,Hatchback,3000,2009,Dầu,5,Đã sử dụng,Thái Lan
Everest,939.000.000,Ford,Tự động,SUV / Cross over,119000,2018,Dầu,7,Đã sử dụng,Thái Lan
,220.000.000,,,,,,,,,
GLC,2.449.000.000,Mercedes Benz,Tự động,SUV / Cross over,19,2021,Xăng,5,Đã sử dụng,Việt Nam
Accent,399.000.000,Hyundai,Số sàn,Sedan,150000,2020,Xăng,5,Đã sử dụng,Việt Nam
3,345.000.000,Mazda,Tự động,Sedan,10689,2011,Xăng,5,Đã sử dụng,Đài Loan
Seltos,779.000.000,Kia,Tự động,,6000,2021,,,Đã sử dụng,Việt Nam
Panamera,1.390.000.000,Porsche,Tự động,Sedan,80000,2010,,4,Đã sử dụng,Đức
Wigo,366.000.000,Toyota,Tự động,Hatchback,2000,2020,Xăng,5,Đã sử dụng,Nước khác
Fortuner,485.000.000,Toyota,Số sàn,SUV / Cross over,130,2011,Dầu,7,Đã sử dụng,Việt Nam
TT,826.000.000,Audi,Tự động,Coupe (2 cửa),75000,2008,Xăng,4,Đã sử dụng,Đức
K3,559.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
XL 7,534.000.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
RX,2.150.000.000,Lexus,Tự động,SUV / Cross over,55000,2015,Xăng,5,Đã sử dụng,Nhật Bản
Santa Fe,1.085.000.000,Hyundai,Tự động,SUV / Cross over,15000,2020,Xăng,7,Đã sử dụng,Việt Nam
3008,989.000.000,Peugeot,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nước khác
Grand livina,175.000.000,Nissan,Số sàn,Hatchback,140000,2011,Xăng,5,Đã sử dụng,Việt Nam
Soluto,365.000.000,Kia,Số sàn,Sedan,5000,2020,Xăng,5,Đã sử dụng,Việt Nam
Citivan,55.000.000,Daihatsu,Số sàn,Minivan (MPV),18000,2003,Xăng,7,Đã sử dụng,Việt Nam
Highlander,585.000.000,Toyota,Tự động,SUV / Cross over,100000,2009,Xăng,7,Đã sử dụng,Mỹ
Focus,255.000.000,Ford,Tự động,Hatchback,91000,2009,Xăng,5,Đã sử dụng,Việt Nam
i20,275.000.000,Hyundai,Tự động,Hatchback,80000,2010,Xăng,5,Đã sử dụng,
Innova,648.000.000,Toyota,Số sàn,Minivan (MPV),14000,2020,Xăng,5,Đã sử dụng,
3,480.000.000,Mazda,Tự động,Hatchback,52000,2016,Xăng,5,Đã sử dụng,Nhật Bản
Ertiga,420.000.000,Suzuki,Tự động,,,2021,Xăng,7,Mới,Nước khác
XL 7,534.900.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
City,529.000.000,Honda,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Seltos,629.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Lux,130.000.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Gentra,152.000.000,Daewoo,Số sàn,Sedan,12000,2010,Xăng,5,Đã sử dụng,Việt Nam
Santa Fe,1.069.000.000,Hyundai,Tự động,SUV / Cross over,7000,2020,Xăng,7,Đã sử dụng,Việt Nam
Avante,349.000.000,Hyundai,Tự động,Sedan,72,2014,Xăng,5,Đã sử dụng,Việt Nam
Focus,310.000.000,Ford,Tự động,Hatchback,60000,2012,Xăng,5,Đã sử dụng,
Camry,1.235.000.000,Toyota,Tự động,Sedan,8000,2020,Xăng,5,Đã sử dụng,Thái Lan
