dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Rush,565.000.000,Toyota,Tự động,SUV / Cross over,22000,2019,Xăng,7,Đã sử dụng,Nước khác
3,565.000.000,Mazda,Tự động,Sedan,34000,2018,Xăng,5,Đã sử dụng,Việt Nam
Morning,208.000.000,Kia,Tự động,Hatchback,91000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Transit,495.000.000,Ford,Số sàn,Van,55000,2019,Dầu,7,Đã sử dụng,Mỹ
Sedona,765.000.000,Kia,Tự động,Minivan (MPV),46000,2016,Dầu,7,Đã sử dụng,Việt Nam
Kona,650.000.000,Hyundai,Tự động,SUV / Cross over,40000,2018,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,225.000.000,Hyundai,Số sàn,Hatchback,80000,2015,Xăng,5,Đã sử dụng,Ấn Độ
X5,1.750.000.000,BMW,Tự động,SUV / Cross over,74000,2015,Dầu,7,Đã sử dụng,Đức
Vios,235.000.000,Toyota,Số sàn,Sedan,250000,2008,Xăng,5,Đã sử dụng,Việt Nam
Elantra,360.000.000,Hyundai,Số sàn,Sedan,110000,2018,Xăng,5,Đã sử dụng,Hàn Quốc
Sonata,409.000.000,Hyundai,Tự động,Sedan,80000,2011,Xăng,5,Đã sử dụng,Hàn Quốc
Ranger,615.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
323,120.000.000,Mazda,Số sàn,Sedan,260000,2002,Xăng,5,Đã sử dụng,Nhật Bản
Grand Starex,435.000.000,Hyundai,Số sàn,Minivan (MPV),110000,2010,Dầu,9,Đã sử dụng,Hàn Quốc
Seltos,609.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Corolla Altis,690.000.000,Toyota,Tự động,Sedan,36000,2019,Xăng,5,Đã sử dụng,
Accent,385.000.000,Hyundai,Số sàn,Sedan,64000,2018,Xăng,5,Đã sử dụng,
E Class,890.000.000,Mercedes Benz,Tự động,Sedan,40000,2015,Xăng,5,Đã sử dụng,Việt Nam
Cerato,415.000.000,Kia,Số sàn,Sedan,60000,2017,Xăng,5,Đã sử dụng,Việt Nam
Spark,220.000.000,Chevrolet,Tự động,Hatchback,50000,2016,Xăng,,Đã sử dụng,Hàn Quốc
C Class,540.000.000,Mercedes Benz,Tự động,Sedan,86000,2011,Xăng,5,Đã sử dụng,Việt Nam
Navara,610.000.000,Nissan,Tự động,Pick-up (bán tải),,2020,Dầu,5,Mới,Thái Lan
NX,2.290.000.000,Lexus,Tự động,SUV / Cross over,40000,2019,Xăng,5,Đã sử dụng,Nhật Bản
Morning,295.000.000,Kia,Tự động,Hatchback,52000,2017,Xăng,2,Đã sử dụng,Hàn Quốc
Santa Fe,850.000.000,Hyundai,Tự động,SUV / Cross over,66000,2016,Dầu,7,Đã sử dụng,Việt Nam
,230.000.000,,,,,,,,Đã sử dụng,
Wigo,320.000.000,Toyota,Số sàn,Hatchback,15000,2019,Xăng,5,Đã sử dụng,Nước khác
Zinger,188.000.000,Mitsubishi,Tự động,Sedan,123456,2004,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.499.000.000,Mercedes Benz,Tự động,Sedan,,2021,,5,Mới,Việt Nam
CLK Class,900.000.000,Mercedes Benz,Tự động,SUV / Cross over,70000,2014,Xăng,5,Đã sử dụng,Việt Nam
Ranger,1.289.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Morning,325.000.000,Kia,Tự động,,77454,2012,,,Đã sử dụng,
Accent,398.000.000,Hyundai,Bán tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
RX,4.600.000.000,Lexus,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Mỹ
Accent,375.000.000,Hyundai,Số sàn,Sedan,65000,2018,Xăng,5,Đã sử dụng,Việt Nam
Innova,585.000.000,Toyota,Tự động,Minivan (MPV),9000,2017,Xăng,8,Đã sử dụng,Việt Nam
Lacetti,200.000.000,Daewoo,Số sàn,Sedan,100000,2009,,5,Đã sử dụng,Hàn Quốc
Dòng khác,750.000.000,Isuzu,Số sàn,Kiểu dáng khác,222,2016,Dầu,Khác,Đã sử dụng,Việt Nam
Tucson,175.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
Zace,128.000.000,Toyota,Số sàn,SUV / Cross over,80000,2001,Xăng,8,Đã sử dụng,Nhật Bản
Grand i10,425.000.000,Hyundai,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Lux,730.000.000,Vinfast,Tự động,Sedan,13000,2020,Xăng,5,Đã sử dụng,Việt Nam
Jolie,115.000.000,Mitsubishi,Số sàn,SUV / Cross over,25000,2005,Xăng,8,Đã sử dụng,Việt Nam
Starex,140.000.000,Hyundai,Số sàn,Pick-up (bán tải),130000,2004,Dầu,6,Đã sử dụng,Hàn Quốc
Starex,150.000.000,Hyundai,Số sàn,Pick-up (bán tải),130000,2005,Dầu,6,Đã sử dụng,Hàn Quốc
Lacetti,135.000.000,Daewoo,Số sàn,Hatchback,500000,2009,Xăng,5,Đã sử dụng,Việt Nam
Morning,175.000.000,Kia,Số sàn,Hatchback,800000,2015,Xăng,5,Đã sử dụng,Việt Nam
Tucson,754.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
Sedona,720.000.000,Kia,Tự động,Minivan (MPV),7000,2016,Dầu,7,Đã sử dụng,Việt Nam
Escalade,11.800.000.000,Cadillac,Tự động,,,2021,,,Mới,Mỹ
3,565.000.000,Mazda,Tự động,Sedan,17000,2018,Xăng,5,Đã sử dụng,Việt Nam
Elantra,535.000.000,Hyundai,Tự động,Sedan,53000,2018,Xăng,5,Đã sử dụng,
Spark,210.000.000,Chevrolet,Số sàn,Hatchback,100000,2016,Xăng,5,Đã sử dụng,Mỹ
Focus,555.000.000,Ford,Tự động,Hatchback,49000,2016,Xăng,5,Đã sử dụng,Việt Nam
Elantra,395.000.000,Hyundai,Số sàn,Sedan,157000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Camry,955.000.000,Toyota,Tự động,Sedan,39000,2019,Xăng,5,Đã sử dụng,Thái Lan
Xpander,630.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
RX,4.900.000.000,Lexus,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Mỹ
ZS,519.000.000,MG,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Fadil,293.000.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Dòng khác,330.000.000,Kia,Tự động,,80000,2009,,,Đã sử dụng,
Vios,415.000.000,Toyota,Số sàn,Sedan,350000,2019,Xăng,5,Đã sử dụng,Việt Nam
Ranger,đ   ,Ford,Tự động,Pick-up (bán tải),88888,2016,Dầu,5,Đã sử dụng,Thái Lan
3,530.000.000,Mazda,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,Việt Nam
Rondo,585.000.000,Kia,Tự động,Minivan (MPV),68000,2017,Dầu,7,Đã sử dụng,Việt Nam
Corolla Altis,590.000.000,Toyota,Tự động,Sedan,50000,2017,Xăng,5,Đã sử dụng,Việt Nam
Wigo,325.000.000,Toyota,Tự động,Hatchback,14000,2018,Xăng,5,Đã sử dụng,
Morning,245.000.000,Kia,Số sàn,,,2017,,,Đã sử dụng,
Cerato,590.000.000,Kia,Tự động,Sedan,25000,2018,Xăng,5,Đã sử dụng,Việt Nam
Accent,387.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Rio,5.000.000,Kia,Tự động,Sedan,50000,2017,Xăng,5,Đã sử dụng,Hàn Quốc
Transit,340.300.000,Ford,Số sàn,Minivan (MPV),170000,2016,Dầu,16,Đã sử dụng,Việt Nam
GLC,1.420.000.000,Mercedes Benz,Tự động,SUV / Cross over,56000,2017,Xăng,5,Đã sử dụng,Đức
3 Series,1.019.000.000,BMW,Tự động,Sedan,35000,2016,Xăng,4,Đã sử dụng,Đức
Vios,350.000.000,Toyota,Số sàn,Sedan,105,2017,Xăng,5,Đã sử dụng,Việt Nam
City,390.000.000,Honda,Tự động,Sedan,80000,2015,Xăng,5,Đã sử dụng,Việt Nam
Matiz,78.000.000,Daewoo,Số sàn,Hatchback,50000,2009,Xăng,5,Đã sử dụng,Việt Nam
Vios,325.000.000,Toyota,Số sàn,Sedan,14000,2014,Xăng,5,Đã sử dụng,Việt Nam
Morning,289.000.000,Kia,Số sàn,Hatchback,,2021,Xăng,5,Mới,Việt Nam
EcoSport,495.000.000,Ford,Tự động,SUV / Cross over,39000,2018,Xăng,5,Đã sử dụng,Việt Nam
Xpander Cross,670.000.000,Mitsubishi,Tự động,SUV / Cross over,,2020,Xăng,7,Mới,Thái Lan
Everest,1.112.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Corolla Altis,365.000.000,Toyota,Số sàn,Sedan,160000,2012,Xăng,5,Đã sử dụng,
Seltos,615.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Colorado,555.000.000,Chevrolet,Tự động,Pick-up (bán tải),70000,2017,Dầu,5,Đã sử dụng,
CX 8,1.049.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Camry,438.000.000,Toyota,Tự động,Sedan,,2009,,5,Đã sử dụng,Nước khác
Xpander Cross,670.000.000,Mitsubishi,Tự động,SUV / Cross over,,2020,Xăng,5,Mới,Nước khác
Triton,600.000.000,Mitsubishi,Số sàn,Pick-up (bán tải),,2020,Dầu,5,Mới,Thái Lan
Fortuner,835.000.000,Toyota,Tự động,SUV / Cross over,60000,2017,Xăng,7,Đã sử dụng,Nước khác
3 Series,939.000.000,BMW,Tự động,Sedan,70000,2012,Xăng,5,Đã sử dụng,Đức
Colorado,555.000.000,Chevrolet,Tự động,Pick-up (bán tải),69000,2017,Dầu,5,Đã sử dụng,
Camry,70.000.000,Toyota,Số sàn,Sedan,370020,1985,Xăng,5,Đã sử dụng,Mỹ
Tucson,739.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
Elantra,150.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Range Rover Vogue,1.450.000.000,LandRover,Bán tự động,SUV / Cross over,60000,2014,Xăng,5,Đã sử dụng,Nước khác
Trailblazer,755.000.000,Chevrolet,Tự động,SUV / Cross over,35000,2019,Dầu,5,Đã sử dụng,Thái Lan
Dòng khác,90.000.000,Suzuki,Số sàn,SUV / Cross over,,2007,Xăng,7,Đã sử dụng,Việt Nam
Elantra,552.500.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
City,475.000.000,Honda,Tự động,Sedan,50000,2017,Xăng,5,Đã sử dụng,Việt Nam
Vios,400.000.000,Toyota,Số sàn,Sedan,51051,2019,Xăng,5,Đã sử dụng,Việt Nam
Triton,640.000.000,Mitsubishi,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Tucson,223.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Sorento,706.000.000,Kia,Tự động,SUV / Cross over,79000,2017,Dầu,7,Đã sử dụng,Việt Nam
City,430.000.000,Honda,Tự động,Sedan,23000,2017,Xăng,5,Đã sử dụng,Việt Nam
Accent,470.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
3,440.000.000,Mazda,Tự động,Hatchback,82000,2015,Xăng,5,Đã sử dụng,Việt Nam
Accent,394.100.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
6,699.000.000,Mazda,Tự động,Sedan,35000,2018,Xăng,5,Đã sử dụng,
Tucson,724.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
CX 5,840.000.000,Mazda,Tự động,SUV / Cross over,9000,2019,Xăng,5,Đã sử dụng,
Accent,370.000.000,Hyundai,Số sàn,Sedan,46000,2019,Xăng,5,Đã sử dụng,Việt Nam
LX,2.050.000.000,Lexus,Tự động,SUV / Cross over,140000,2008,Xăng,8,Đã sử dụng,Mỹ
Xpander,555.000.000,Mitsubishi,Số sàn,Minivan (MPV),,2021,Xăng,7,Mới,Nước khác
Rondo,480.000.000,Kia,Tự động,Minivan (MPV),30000,2017,Xăng,7,Đã sử dụng,Việt Nam
Cerato,595.000.000,Kia,Tự động,Sedan,34000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cerato,475.000.000,Kia,Tự động,Sedan,70000,2017,Xăng,5,Đã sử dụng,
3008,730.000.000,Peugeot,Tự động,SUV / Cross over,15000,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,127.000.000,Hãng khác,Số sàn,Hatchback,40000,2018,Xăng,2,Đã sử dụng,Việt Nam
Captiva,545.000.000,Chevrolet,Tự động,SUV / Cross over,50000,2016,Xăng,7,Đã sử dụng,Việt Nam
5008,1.135.000.000,Peugeot,Tự động,SUV / Cross over,5000,2020,Xăng,7,Đã sử dụng,Việt Nam
Gentra,116.000.000,Daewoo,Số sàn,Sedan,110000,2009,Xăng,5,Đã sử dụng,Việt Nam
Zace,175.000.000,Toyota,Số sàn,SUV / Cross over,18000,2004,Xăng,8,Đã sử dụng,Nhật Bản
GLC,1.420.000.000,Mercedes Benz,Tự động,SUV / Cross over,16000,2018,Xăng,5,Đã sử dụng,Đức
E Class,350.000.000,Mercedes Benz,Tự động,Sedan,120000,2008,Xăng,5,Đã sử dụng,Đức
C Class,1.200.000.000,Mercedes Benz,Tự động,Sedan,33000,2018,Xăng,5,Đã sử dụng,Việt Nam
Ranger,505.000.000,Ford,Số sàn,Pick-up (bán tải),85000,2017,Dầu,5,Đã sử dụng,Thái Lan
Dòng khác,228.000.000,Hãng khác,Số sàn,Hatchback,120000,2015,Xăng,5,Đã sử dụng,Ấn Độ
CX 5,669.000.000,Mazda,Tự động,SUV / Cross over,20000,2016,Xăng,5,Đã sử dụng,
Lanos,37.000.000,Daewoo,Số sàn,Sedan,11000,2003,Xăng,5,Đã sử dụng,
Fortuner,10.000.000,Toyota,Tự động,SUV / Cross over,19000,2017,Xăng,7,Đã sử dụng,Nước khác
Focus,585.000.000,Ford,Tự động,Hatchback,62000,2016,Xăng,,Đã sử dụng,Việt Nam
Hilux,674.000.000,Toyota,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Lux,881.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Elantra,719.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Vios,525.000.000,Toyota,Tự động,,1700,2020,,,Đã sử dụng,Việt Nam
Vios,383.000.000,Toyota,Số sàn,Sedan,11800,2017,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.379.000.000,Mercedes Benz,Tự động,Sedan,21000,2019,Xăng,5,Đã sử dụng,Việt Nam
Rio,165.000.000,Kia,Số sàn,Sedan,217000,2007,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,90.000.000,Hyundai,Số sàn,Hatchback,,2021,Xăng,5,Mới,Hàn Quốc
Lux,881.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Galloper,72.000.000,Hyundai,Số sàn,SUV / Cross over,68000,2001,Dầu,2,Đã sử dụng,
XL 7,564.000.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Dòng khác,150.000.000,Suzuki,Số sàn,Kiểu dáng khác,800000,2004,Dầu,7,Đã sử dụng,Việt Nam
Elantra,519.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
3,565.000.000,Mazda,Tự động,Sedan,17000,2018,Xăng,5,Đã sử dụng,Việt Nam
5 Series,1.235.000.000,BMW,Tự động,Sedan,50000,2016,,5,Đã sử dụng,Đức
Everest,255.000.000,Ford,Số sàn,SUV / Cross over,150000,2007,Xăng,7,Đã sử dụng,Việt Nam
Grand i10,225.000.000,Hyundai,Số sàn,Sedan,100000,2015,Xăng,5,Đã sử dụng,Ấn Độ
C Class,733.000.000,Mercedes Benz,Tự động,Sedan,70000,2013,Xăng,4,Đã sử dụng,Nước khác
Pajero Sport,525.000.000,Mitsubishi,Số sàn,SUV / Cross over,70000,2016,Xăng,7,Đã sử dụng,Nước khác
Seltos,615.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
Accent,398.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
Camry,965.000.000,Toyota,Tự động,Sedan,19000,2019,Xăng,5,Đã sử dụng,Thái Lan
Macan,5.800.000.000,Porsche,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
C Class,1.295.000.000,Mercedes Benz,Tự động,Sedan,20000,2016,Xăng,5,Đã sử dụng,Việt Nam
Spectra,79.000.000,Kia,Số sàn,Sedan,12345,2004,Xăng,5,Đã sử dụng,
Tucson,488.000.000,Hyundai,Tự động,SUV / Cross over,80000,2012,Xăng,5,Đã sử dụng,Hàn Quốc
BT 50,450.000.000,Mazda,Số sàn,Pick-up (bán tải),80000,2015,Dầu,5,Đã sử dụng,
Grand i10,315.000.000,Hyundai,Tự động,Hatchback,30000,2017,Xăng,5,Đã sử dụng,Ấn Độ
Cerato,620.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Panamera,6.900.000.000,Porsche,Bán tự động,Sedan,16000,2017,Xăng,4,Đã sử dụng,Mỹ
Explorer,1.880.000.000,Ford,Tự động,SUV / Cross over,30000,2018,Xăng,7,Đã sử dụng,Mỹ
Wagon R+,109.999.000,Suzuki,Số sàn,Hatchback,99999,2000,Xăng,5,Đã sử dụng,Nhật Bản
Santa Fe,1.090.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
E Class,1.680.000.000,Mercedes Benz,Tự động,Sedan,48000,2017,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.389.000.000,Mercedes Benz,Tự động,Sedan,29000,2017,Xăng,5,Đã sử dụng,Việt Nam
E Class,585.000.000,Mercedes Benz,Tự động,Sedan,68000,2010,Xăng,5,Đã sử dụng,Việt Nam
GLS Class,27.000.000,Mercedes Benz,Số sàn,Pick-up (bán tải),335556,2002,Dầu,16,Đã sử dụng,Việt Nam
Fortuner,1.180.000.000,Toyota,Tự động,SUV / Cross over,22000,2020,Dầu,5,Đã sử dụng,Việt Nam
3,575.000.000,Mazda,Tự động,Hatchback,35000,2018,Xăng,5,Đã sử dụng,Việt Nam
E Class,1.580.000.000,Mercedes Benz,Tự động,Sedan,60000,2016,Xăng,5,Đã sử dụng,Việt Nam
Vios,490.000.000,Toyota,Tự động,Sedan,45000,2019,,5,Đã sử dụng,
Dòng khác,335.000.000,Hyundai,Số sàn,Kiểu dáng khác,111111,2009,Dầu,2,Đã sử dụng,Hàn Quốc
Innova,775.000.000,Toyota,Tự động,Minivan (MPV),17000,2019,Xăng,8,Đã sử dụng,Việt Nam
C Class,1.720.000.000,Mercedes Benz,Bán tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,25.000.000,Hãng khác,Số sàn,Pick-up (bán tải),100000,2003,Xăng,2,Đã sử dụng,Trung Quốc
Innova,790.000.000,Toyota,Tự động,Minivan (MPV),12000,2020,Xăng,5,Đã sử dụng,Việt Nam
Accent,370.000.000,Hyundai,Số sàn,Sedan,50000,2013,Xăng,5,Đã sử dụng,Việt Nam
Camry,855.000.000,Toyota,Tự động,Sedan,48000,2015,Xăng,5,Đã sử dụng,
CX 5,775.000.000,Mazda,Tự động,SUV / Cross over,180000,2018,Xăng,5,Đã sử dụng,Việt Nam
Camry,865.000.000,Toyota,Tự động,Sedan,76000,2016,Xăng,5,Đã sử dụng,Việt Nam
K3,450.000.000,Kia,Tự động,Sedan,70000,2016,Xăng,5,Đã sử dụng,Việt Nam
Seltos,615.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Ranger,635.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Vios,412.000.000,Toyota,Số sàn,Sedan,19000,2020,Xăng,5,Đã sử dụng,Việt Nam
Rush,634.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
2,419.000.000,Mazda,Tự động,Sedan,38000,2017,Xăng,5,Đã sử dụng,Việt Nam
Range Rover Evoque,1.030.000.000,LandRover,Tự động,,70000,2012,,,Đã sử dụng,
C Class,1.680.000.000,Mercedes Benz,Tự động,Sedan,2900,2021,Xăng,5,Đã sử dụng,Nước khác
6,600.000.000,Mazda,Tự động,Sedan,70000,2016,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,205.000.000,Hãng khác,Số sàn,Minivan (MPV),60000,2019,Xăng,5,Đã sử dụng,Nước khác
Trailblazer,635.000.000,Chevrolet,Tự động,,60000,2018,Xăng,,Đã sử dụng,
Dòng khác,165.000.000,Mitsubishi,Tự động,,,2009,Xăng,7,Đã sử dụng,Việt Nam
Morning,266.000.000,Kia,Số sàn,Hatchback,40000,2019,Xăng,5,Đã sử dụng,Việt Nam
Swift,210.000.000,Suzuki,Số sàn,Hatchback,160000,2007,Xăng,5,Đã sử dụng,Nhật Bản
Accent,430.000.000,Hyundai,Số sàn,Sedan,4000,2021,Xăng,4,Đã sử dụng,Hàn Quốc
Yaris,540.000.000,Toyota,Tự động,Hatchback,30000,2017,Xăng,5,Đã sử dụng,Thái Lan
Rio,338.000.000,Kia,Số sàn,Sedan,70000,2016,Xăng,5,Đã sử dụng,Hàn Quốc
Trailblazer,620.000.000,Chevrolet,Tự động,SUV / Cross over,20000,2018,Dầu,7,Đã sử dụng,Thái Lan
City,499.000.000,Honda,Tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,Việt Nam
Seltos,609.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Innova,307.000.000,Toyota,Số sàn,Minivan (MPV),109000,2007,Xăng,8,Đã sử dụng,Việt Nam
,500.000.000,,,,,,,,Đã sử dụng,
Outlander,825.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Dòng khác,350.000.000,Hãng khác,Số sàn,Coupe (2 cửa),23456,trước năm 1980,Xăng,4,Đã sử dụng,Nước khác
Hilux,830.000.000,Toyota,Tự động,Pick-up (bán tải),18000,2019,Dầu,5,Đã sử dụng,
Explorer,430.000.000,Ford,Tự động,Pick-up (bán tải),10,2014,Dầu,5,Đã sử dụng,Thái Lan
Avante,350.000.000,Hyundai,Số sàn,Sedan,82000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
3,565.000.000,Mazda,Tự động,Sedan,17000,2018,Xăng,5,Đã sử dụng,Việt Nam
C Class,898.000.000,Mercedes Benz,Tự động,Sedan,69000,2015,Xăng,5,Đã sử dụng,Việt Nam
Rondo,425.000.000,Kia,Số sàn,Minivan (MPV),80000,2018,Xăng,7,Đã sử dụng,Việt Nam
Tucson,730.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Triton,760.000.000,Mitsubishi,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Fortuner,515.000.000,Toyota,Tự động,SUV / Cross over,98000,2013,Xăng,7,Đã sử dụng,Việt Nam
Highlander,1.420.000.000,Toyota,Tự động,SUV / Cross over,60000,2015,Xăng,7,Đã sử dụng,Mỹ
Morning,230.000.000,Kia,Số sàn,Hatchback,60000,2018,Xăng,5,Đã sử dụng,Việt Nam
C2,80.000.000,Citroen,Số sàn,Coupe (2 cửa),1246,trước năm 1980,Xăng,4,Đã sử dụng,Nước khác
Explorer,1.600.000.000,Ford,Tự động,SUV / Cross over,60,2017,Xăng,7,Đã sử dụng,Mỹ
Spectra,125.000.000,Kia,Số sàn,Sedan,155000,2005,Xăng,5,Đã sử dụng,Hàn Quốc
Cerato,350.000.000,Kia,Tự động,Coupe (2 cửa),100000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,265.000.000,Hyundai,Bán tự động,Hatchback,55000,2016,Xăng,5,Đã sử dụng,
Transit,1.600.000.000,Ford,Số sàn,Minivan (MPV),50000,2018,Dầu,16,Đã sử dụng,Mỹ
Lacetti,150.000.000,Daewoo,Số sàn,Sedan,10000,2009,Xăng,5,Đã sử dụng,Việt Nam
Morning,125.000.000,Kia,Số sàn,Hatchback,12345,2010,Xăng,5,Đã sử dụng,Việt Nam
GLB,1.999.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Đức
C Class,1.399.000.000,Mercedes Benz,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
GLC,1.715.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Cerato,579.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Innova,325.000.000,Toyota,Số sàn,Minivan (MPV),100000,2014,Xăng,8,Đã sử dụng,
Morning,125.000.000,Kia,Số sàn,Hatchback,500000,2008,Xăng,5,Đã sử dụng,Hàn Quốc
Civic,446.000.000,Honda,Tự động,Sedan,80000,2015,Xăng,5,Đã sử dụng,Việt Nam
Escape,175.000.000,Ford,Tự động,SUV / Cross over,120000,2005,Xăng,5,Đã sử dụng,Việt Nam
Tucson,895.000.000,Hyundai,Tự động,SUV / Cross over,200000,2019,Xăng,5,Đã sử dụng,
3,575.000.000,Mazda,Tự động,Sedan,39000,2018,Xăng,5,Đã sử dụng,Việt Nam
Fadil,260.000.000,Vinfast,Tự động,Hatchback,13000,2020,Xăng,5,Đã sử dụng,Việt Nam
Everest,335.000.000,Ford,Số sàn,SUV / Cross over,150000,2009,Dầu,7,Đã sử dụng,Việt Nam
Getz,145.000.000,Hyundai,Số sàn,Hatchback,190000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Camry,26.000.000,Toyota,Số sàn,Sedan,10000,1991,Xăng,4,Đã sử dụng,Nhật Bản
C Class,955.000.000,Mercedes Benz,Tự động,Sedan,62000,2015,Xăng,5,Đã sử dụng,
Morning,238.000.000,Kia,Số sàn,Hatchback,70000,2016,Xăng,5,Đã sử dụng,Việt Nam
Kona,586.000.000,Hyundai,Bán tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
323,32.000.000,Mazda,Số sàn,Sedan,68,1997,Xăng,5,Đã sử dụng,Việt Nam
Elantra,520.000.000,Hyundai,Tự động,Sedan,,2020,Xăng,5,Mới,Việt Nam
Sonata,415.000.000,Hyundai,Tự động,Sedan,90000,2011,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,265.000.000,Hyundai,Tự động,Hatchback,6886,2016,Xăng,5,Đã sử dụng,Ấn Độ
Elantra,525.000.000,Hyundai,Tự động,Sedan,5400,2018,Xăng,5,Đã sử dụng,Hàn Quốc
Elantra,575.000.000,Hyundai,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,Việt Nam
Corolla Altis,180.000.000,Toyota,Số sàn,Sedan,20,2003,Xăng,5,Đã sử dụng,Việt Nam
RX,4.380.000.000,Lexus,Tự động,SUV / Cross over,15000,2019,Xăng,5,Đã sử dụng,Mỹ
C Class,1.280.000.000,Mercedes Benz,Tự động,Sedan,30000,2018,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,229.000.000,Hãng khác,Số sàn,,500,2021,,,Đã sử dụng,
