	count	mean	std	min	25%	50%	75%	max
dong_xe_Beetle	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_BeijingX7	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_Bentayga	41601.0	0.00036056825557077957	0.018985439433544072	0.0	0.0	0.0	0.0	1.0
dong_xe_Bluebird	41601.0	0.0003365303718660609	0.018341897560635673	0.0	0.0	0.0	0.0	1.0
dong_xe_Bongo	41601.0	0.0006490228600274032	0.02546796459750731	0.0	0.0	0.0	0.0	1.0
dong_xe_Boxster	41601.0	9.615153481887455e-05	0.00980533532389177	0.0	0.0	0.0	0.0	1.0
dong_xe_Brevis	41601.0	2.4037883704718638e-05	0.004902844450389861	0.0	0.0	0.0	0.0	1.0
dong_xe_Brio	41601.0	0.0013461214874642437	0.03666526639117881	0.0	0.0	0.0	0.0	1.0
dong_xe_Bronco	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_C2	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_CD5	41601.0	0.0004567197903896541	0.021366379460488423	0.0	0.0	0.0	0.0	1.0
dong_xe_CJ	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
dong_xe_CL	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_CLAclass	41601.0	0.001514386673397274	0.03888611133550768	0.0	0.0	0.0	0.0	1.0
dong_xe_CLKclass	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
dong_xe_CLSclass	41601.0	0.0001923030696377491	0.01386617145964042	0.0	0.0	0.0	0.0	1.0
dong_xe_CRV	41601.0	0.011514146294560226	0.10668572690438925	0.0	0.0	0.0	0.0	1.0
dong_xe_CTS	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
dong_xe_CX3	41601.0	0.0004567197903896541	0.021366379460488423	0.0	0.0	0.0	0.0	1.0
dong_xe_CX30	41601.0	0.00021634095334246772	0.014707119001115708	0.0	0.0	0.0	0.0	1.0
dong_xe_CX5	41601.0	0.013389101223528281	0.11493541984967691	0.0	0.0	0.0	0.0	1.0
dong_xe_CX8	41601.0	0.0016105382082161486	0.040099663681944224	0.0	0.0	0.0	0.0	1.0
dong_xe_CX9	41601.0	0.00043268190668493544	0.020796756707708235	0.0	0.0	0.0	0.0	1.0
dong_xe_Cadenza	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_Caldina	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_Camaro	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
dong_xe_Cami	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Camry	41601.0	0.028508930073796304	0.16642366644556467	0.0	0.0	0.0	0.0	1.0
dong_xe_Canter	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_Captiva	41601.0	0.005216220763923944	0.07203566159012247	0.0	0.0	0.0	0.0	1.0
dong_xe_Caravan	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_Carens	41601.0	0.0062258118795221265	0.07865875585816204	0.0	0.0	0.0	0.0	1.0
dong_xe_Carnival	41601.0	0.0012259320689406504	0.03499226475803261	0.0	0.0	0.0	0.0	1.0
dong_xe_Carry	41601.0	0.0012259320689406504	0.03499226475803261	0.0	0.0	0.0	0.0	1.0
dong_xe_Cayenne	41601.0	0.0025720535564048943	0.05065076273949782	0.0	0.0	0.0	0.0	1.0
dong_xe_Cayman	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Cclass	41601.0	0.028292589120453834	0.16580946712883646	0.0	0.0	0.0	0.0	1.0
dong_xe_Cedric	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
